model,horizon,seed,mse,mae
lstm,90,0,155036.09375,313.1120300292969
lstm,90,1,143349.625,299.2962646484375
lstm,90,2,132678.125,287.50177001953125
lstm,90,3,122121.796875,280.2028503417969
lstm,90,4,141166.25,300.42559814453125
transformer,90,0,120169.296875,285.4749450683594
transformer,90,1,120651.28125,280.2308044433594
transformer,90,2,126500.7890625,278.4577331542969
transformer,90,3,134586.890625,290.0395812988281
transformer,90,4,122393.9765625,281.45751953125
cnn_transformer,90,0,130175.53125,279.3309631347656
cnn_transformer,90,1,137080.734375,294.3837890625
cnn_transformer,90,2,130363.375,284.5044860839844
cnn_transformer,90,3,126266.2890625,284.91033935546875
cnn_transformer,90,4,134740.078125,281.4338684082031
lstm,365,0,207133.109375,339.38568115234375
lstm,365,1,200224.0,333.0772399902344
lstm,365,2,189489.3125,321.6996154785156
lstm,365,3,186198.21875,316.67999267578125
lstm,365,4,188674.71875,325.0555725097656
transformer,365,0,183012.015625,315.8130187988281
transformer,365,1,182375.40625,309.98291015625
transformer,365,2,171307.796875,301.59320068359375
transformer,365,3,181849.265625,311.5683288574219
transformer,365,4,182598.515625,313.7384948730469
cnn_transformer,365,0,174584.09375,309.3157653808594
cnn_transformer,365,1,178618.0625,308.6695251464844
cnn_transformer,365,2,184108.90625,311.423583984375
cnn_transformer,365,3,186156.671875,315.3873596191406
cnn_transformer,365,4,174235.328125,309.1123352050781
